time_step,positions
247,"[(23, 9), (24, 18), (0, 16), (8, 26), (11, 27), (30, 4), (3, 24), (14, 8), (4, 12), (30, 11), (14, 23), (11, 12), (28, 26), (5, 9), (8, 17), (5, 1), (12, 8), (4, 2), (24, 2), (16, 25), (12, 22), (6, 3), (18, 13), (9, 22), (17, 15), (15, 29), (24, 16), (13, 21), (30, 18), (10, 21), (5, 28), (31, 19), (4, 13), (6, 27), (17, 23), (23, 11), (26, 11), (25, 28), (9, 28), (17, 10), (29, 11), (17, 11), (19, 16), (20, 12), (29, 12), (8, 2), (31, 17), (26, 30), (21, 31), (17, 23), (15, 19), (29, 11), (5, 14), (8, 8), (16, 30), (20, 7), (8, 6), (26, 16), (20, 3), (15, 14), (24, 24), (10, 29), (2, 3), (12, 9), (29, 9), (16, 28), (15, 11), (26, 12), (29, 23), (30, 11), (8, 26), (10, 2), (19, 7), (26, 5), (23, 5), (11, 28), (26, 9), (30, 1), (13, 26), (31, 15), (2, 7), (30, 14), (17, 25), (28, 20), (31, 9), (19, 20), (14, 29), (26, 31), (30, 8), (7, 16), (2, 7), (20, 17), (25, 7), (14, 10), (19, 7), (28, 29), (30, 14), (8, 31), (14, 22), (14, 13), (21, 14), (8, 15), (27, 1), (28, 1), (16, 23), (0, 13), (0, 15), (15, 0), (24, 1), (19, 26), (25, 23), (30, 28), (4, 30), (16, 14), (8, 13), (16, 17), (15, 16), (20, 9), (15, 25), (17, 25), (27, 18), (19, 4), (2, 1), (29, 6), (1, 21), (27, 26), (9, 7), (4, 19), (17, 8), (4, 29), (20, 2), (8, 3), (5, 22), (8, 23), (9, 10), (19, 14), (13, 14), (4, 23), (5, 9), (9, 16), (1, 19), (18, 6), (10, 15), (12, 26), (4, 3), (23, 11), (31, 13), (31, 15), (11, 5), (30, 15), (14, 10), (22, 20), (19, 27), (4, 21), (10, 17), (9, 9), (16, 12), (15, 10), (1, 27), (27, 10), (17, 18), (29, 24), (7, 21), (26, 19), (13, 14), (1, 22), (30, 28), (30, 18), (6, 7), (9, 11), (2, 17), (1, 13), (10, 15), (30, 11), (29, 20), (2, 27), (17, 8), (10, 25), (22, 23), (24, 25), (23, 26), (11, 31), (28, 16), (24, 21), (31, 10), (19, 18), (17, 1), (17, 7), (4, 24), (19, 15), (11, 8), (0, 8), (22, 2), (30, 22), (16, 22), (18, 15), (8, 13), (9, 18), (1, 9), (19, 12), (27, 15)]"
248,"[(22, 10), (24, 18), (0, 18), (8, 26), (11, 27), (31, 5), (2, 23), (14, 8), (4, 12), (30, 9), (14, 23), (9, 12), (28, 26), (5, 9), (9, 16), (5, 1), (12, 8), (4, 0), (23, 3), (16, 23), (12, 22), (5, 4), (18, 15), (10, 23), (17, 15), (15, 29), (23, 15), (12, 20), (29, 17), (10, 19), (4, 29), (30, 20), (4, 13), (7, 28), (17, 23), (22, 10), (26, 11), (25, 26), (9, 26), (18, 9), (29, 11), (17, 11), (21, 16), (20, 12), (29, 12), (8, 2), (31, 17), (25, 31), (21, 31), (17, 23), (16, 20), (29, 11), (4, 15), (8, 6), (17, 31), (19, 8), (8, 6), (26, 16), (21, 4), (15, 14), (24, 24), (9, 28), (2, 3), (11, 8), (29, 9), (15, 27), (16, 12), (27, 13), (28, 22), (30, 11), (8, 26), (11, 3), (20, 6), (26, 7), (22, 4), (12, 29), (26, 9), (30, 1), (14, 25), (31, 15), (3, 8), (30, 14), (17, 25), (29, 19), (31, 9), (18, 21), (14, 29), (27, 30), (29, 9), (6, 17), (2, 7), (21, 16), (25, 7), (15, 9), (18, 6), (29, 28), (30, 14), (8, 31), (13, 21), (14, 13), (21, 14), (8, 15), (27, 1), (29, 2), (14, 23), (0, 13), (0, 13), (14, 1), (24, 1), (19, 26), (24, 22), (30, 28), (6, 30), (16, 14), (9, 12), (17, 18), (15, 16), (20, 9), (15, 25), (17, 27), (27, 18), (19, 4), (1, 0), (28, 5), (2, 20), (26, 27), (9, 7), (4, 19), (15, 8), (6, 29), (20, 0), (7, 4), (5, 22), (9, 22), (11, 10), (19, 14), (15, 14), (4, 23), (6, 10), (9, 16), (1, 19), (18, 6), (8, 15), (11, 27), (6, 3), (23, 11), (31, 13), (31, 15), (11, 5), (29, 16), (13, 11), (22, 20), (19, 27), (4, 21), (10, 17), (8, 8), (16, 14), (15, 10), (1, 27), (28, 9), (16, 17), (28, 23), (5, 21), (24, 19), (13, 16), (2, 23), (31, 27), (31, 19), (6, 7), (7, 11), (3, 16), (2, 12), (9, 14), (31, 10), (29, 20), (3, 28), (19, 8), (9, 26), (22, 23), (24, 25), (25, 26), (12, 30), (29, 15), (24, 19), (31, 10), (19, 18), (16, 2), (18, 6), (3, 25), (21, 15), (10, 9), (0, 8), (22, 0), (29, 23), (16, 20), (19, 14), (10, 13), (9, 18), (0, 8), (18, 13), (28, 14)]"
249,"[(23, 9), (24, 18), (0, 16), (8, 28), (11, 27), (30, 6), (3, 24), (12, 8), (6, 12), (30, 11), (13, 24), (10, 13), (28, 26), (3, 9), (10, 17), (6, 0), (13, 7), (5, 1), (22, 2), (16, 23), (13, 23), (6, 5), (17, 14), (9, 22), (16, 16), (15, 31), (24, 16), (14, 20), (29, 17), (10, 21), (5, 28), (30, 20), (3, 14), (7, 28), (18, 24), (23, 11), (27, 10), (24, 27), (9, 26), (17, 10), (29, 9), (17, 11), (21, 16), (21, 13), (28, 13), (9, 3), (31, 17), (25, 29), (21, 29), (18, 24), (16, 20), (29, 11), (5, 14), (9, 7), (17, 31), (20, 9), (9, 5), (28, 16), (20, 3), (15, 14), (24, 24), (10, 29), (2, 3), (10, 9), (29, 9), (15, 27), (15, 11), (28, 12), (28, 22), (30, 11), (8, 28), (10, 2), (20, 6), (26, 5), (24, 4), (12, 29), (26, 9), (31, 2), (12, 25), (31, 15), (3, 8), (31, 13), (19, 25), (27, 19), (31, 7), (17, 20), (14, 29), (28, 31), (29, 7), (6, 15), (1, 6), (19, 16), (25, 9), (15, 9), (20, 6), (29, 28), (30, 14), (7, 30), (14, 22), (14, 13), (21, 14), (6, 15), (26, 2), (29, 2), (15, 22), (0, 11), (1, 14), (15, 2), (24, 1), (19, 26), (24, 22), (31, 27), (5, 31), (17, 13), (9, 12), (17, 18), (15, 16), (20, 7), (15, 25), (17, 25), (27, 18), (18, 5), (2, 1), (29, 6), (1, 21), (27, 26), (10, 6), (3, 18), (16, 7), (6, 29), (19, 1), (8, 3), (4, 23), (9, 24), (11, 10), (19, 12), (15, 14), (2, 23), (7, 9), (8, 17), (1, 19), (17, 7), (10, 15), (11, 27), (6, 3), (24, 10), (31, 13), (31, 15), (10, 4), (29, 16), (14, 10), (23, 19), (19, 27), (3, 20), (11, 16), (10, 8), (17, 13), (17, 10), (1, 27), (28, 9), (18, 17), (28, 23), (5, 21), (26, 19), (13, 16), (1, 22), (31, 27), (30, 18), (5, 8), (8, 10), (3, 16), (1, 11), (10, 13), (31, 10), (30, 21), (1, 28), (18, 9), (10, 25), (23, 22), (22, 25), (24, 27), (11, 31), (27, 15), (25, 20), (30, 11), (19, 18), (16, 2), (16, 6), (5, 25), (21, 15), (11, 8), (0, 6), (22, 0), (30, 22), (17, 21), (17, 14), (9, 14), (9, 18), (1, 9), (19, 12), (29, 15)]"
250,"[(22, 10), (24, 18), (0, 18), (8, 28), (11, 27), (30, 4), (3, 24), (12, 8), (4, 12), (31, 10), (14, 23), (10, 13), (29, 25), (4, 10), (9, 16), (5, 1), (11, 7), (4, 2), (22, 2), (16, 23), (12, 24), (7, 4), (18, 13), (10, 23), (18, 16), (15, 31), (23, 17), (12, 20), (29, 17), (10, 19), (5, 28), (31, 19), (2, 13), (7, 26), (17, 25), (22, 10), (27, 10), (26, 27), (9, 28), (17, 10), (29, 11), (19, 11), (21, 16), (20, 12), (28, 13), (9, 1), (31, 17), (24, 30), (22, 30), (18, 24), (17, 19), (29, 11), (5, 14), (8, 8), (16, 30), (21, 8), (9, 5), (28, 16), (21, 2), (15, 14), (22, 24), (9, 28), (1, 4), (12, 9), (29, 9), (17, 27), (16, 12), (27, 13), (30, 22), (29, 12), (8, 26), (11, 3), (18, 6), (25, 6), (24, 4), (10, 29), (26, 7), (31, 2), (12, 25), (31, 15), (3, 8), (31, 15), (19, 25), (29, 19), (31, 9), (19, 20), (13, 28), (28, 31), (29, 7), (6, 17), (1, 6), (21, 16), (24, 8), (15, 9), (18, 6), (28, 29), (30, 14), (7, 30), (14, 20), (14, 13), (19, 14), (6, 15), (27, 3), (29, 2), (16, 23), (0, 11), (1, 14), (15, 2), (24, 1), (19, 26), (25, 23), (31, 27), (6, 30), (17, 13), (9, 12), (15, 18), (15, 14), (19, 8), (15, 25), (16, 26), (28, 17), (18, 5), (3, 0), (29, 4), (2, 20), (26, 27), (10, 6), (3, 20), (17, 8), (6, 29), (21, 1), (9, 4), (5, 22), (9, 22), (9, 10), (18, 13), (15, 14), (4, 23), (7, 9), (8, 17), (0, 20), (18, 6), (8, 15), (12, 26), (5, 4), (23, 11), (31, 13), (31, 15), (11, 3), (30, 15), (14, 10), (22, 20), (19, 27), (4, 21), (10, 17), (9, 9), (16, 14), (16, 11), (0, 28), (27, 10), (16, 17), (28, 23), (7, 21), (26, 19), (13, 14), (3, 22), (31, 29), (30, 18), (6, 7), (8, 10), (4, 17), (1, 13), (11, 14), (30, 11), (29, 20), (2, 27), (19, 8), (10, 25), (22, 23), (23, 26), (23, 26), (10, 30), (27, 15), (25, 20), (30, 9), (20, 17), (16, 0), (17, 7), (4, 26), (19, 15), (10, 9), (0, 8), (21, 1), (30, 22), (15, 21), (18, 15), (9, 14), (10, 17), (0, 8), (19, 12), (29, 15)]"
251,"[(22, 10), (26, 18), (1, 17), (8, 28), (11, 27), (30, 4), (1, 24), (14, 8), (5, 11), (30, 11), (13, 24), (11, 12), (27, 25), (4, 8), (9, 16), (4, 0), (13, 7), (4, 2), (23, 3), (16, 23), (12, 24), (6, 3), (18, 15), (9, 24), (16, 16), (14, 30), (22, 16), (12, 20), (29, 17), (11, 20), (4, 29), (30, 20), (3, 14), (7, 28), (17, 25), (22, 12), (27, 10), (25, 28), (9, 28), (17, 10), (29, 9), (18, 12), (20, 17), (21, 13), (29, 14), (9, 3), (31, 17), (25, 29), (20, 30), (18, 22), (17, 19), (29, 11), (4, 15), (8, 8), (15, 31), (20, 7), (8, 6), (27, 17), (21, 4), (15, 14), (24, 24), (9, 28), (3, 4), (12, 9), (29, 9), (15, 27), (16, 12), (28, 12), (29, 23), (29, 12), (8, 26), (10, 2), (20, 6), (27, 6), (23, 5), (12, 29), (27, 8), (31, 2), (13, 24), (31, 15), (3, 8), (31, 15), (18, 24), (28, 20), (30, 8), (17, 20), (15, 28), (28, 31), (28, 8), (6, 17), (1, 6), (21, 16), (25, 9), (15, 9), (19, 7), (28, 29), (31, 13), (6, 31), (15, 21), (14, 13), (21, 14), (7, 14), (26, 2), (29, 2), (16, 23), (0, 13), (0, 15), (15, 2), (24, 1), (19, 26), (24, 24), (31, 27), (5, 31), (16, 12), (9, 12), (17, 18), (15, 14), (20, 7), (15, 25), (17, 27), (28, 17), (20, 5), (3, 0), (28, 5), (1, 21), (25, 26), (8, 6), (4, 19), (15, 8), (5, 28), (21, 1), (8, 3), (4, 21), (9, 24), (9, 10), (18, 13), (13, 14), (3, 24), (6, 10), (8, 17), (0, 20), (17, 7), (9, 14), (11, 27), (6, 3), (24, 12), (31, 13), (31, 15), (12, 4), (29, 16), (15, 11), (22, 20), (19, 27), (3, 22), (12, 17), (9, 7), (17, 13), (16, 11), (1, 27), (28, 9), (17, 18), (28, 23), (5, 21), (25, 20), (14, 15), (2, 23), (30, 28), (30, 18), (6, 7), (8, 10), (3, 16), (2, 12), (10, 15), (30, 11), (28, 21), (1, 28), (18, 9), (10, 25), (23, 22), (24, 25), (24, 27), (11, 31), (28, 16), (24, 21), (30, 11), (20, 17), (16, 0), (16, 6), (5, 25), (21, 15), (10, 9), (0, 8), (21, 1), (30, 22), (15, 21), (18, 13), (8, 13), (10, 19), (0, 8), (19, 12), (28, 14)]"
252,"[(23, 9), (25, 17), (0, 16), (8, 28), (10, 28), (31, 5), (2, 23), (13, 9), (4, 12), (31, 10), (14, 23), (11, 12), (29, 25), (4, 8), (9, 18), (4, 0), (13, 7), (5, 1), (23, 3), (16, 23), (13, 23), (5, 4), (19, 14), (9, 24), (18, 16), (16, 30), (24, 16), (13, 19), (29, 17), (10, 19), (6, 29), (31, 19), (3, 12), (7, 26), (17, 23), (23, 11), (26, 11), (26, 27), (9, 26), (17, 10), (29, 11), (19, 11), (19, 16), (20, 12), (29, 12), (8, 2), (31, 17), (26, 30), (21, 31), (19, 23), (16, 20), (29, 9), (4, 13), (9, 7), (16, 30), (19, 8), (8, 6), (27, 17), (21, 4), (14, 13), (24, 24), (9, 28), (3, 4), (11, 8), (29, 9), (15, 27), (16, 12), (28, 12), (29, 23), (29, 12), (8, 26), (9, 3), (19, 7), (27, 6), (23, 5), (11, 28), (26, 9), (30, 1), (13, 24), (31, 15), (2, 9), (30, 14), (17, 25), (29, 19), (31, 7), (18, 19), (14, 29), (27, 30), (28, 8), (6, 17), (1, 6), (20, 17), (25, 7), (13, 9), (20, 6), (27, 28), (30, 14), (6, 31), (14, 20), (13, 12), (21, 14), (7, 14), (27, 1), (28, 1), (14, 23), (0, 11), (1, 14), (15, 0), (23, 0), (19, 26), (25, 23), (30, 28), (5, 31), (16, 12), (8, 13), (16, 17), (15, 16), (21, 8), (15, 25), (17, 27), (29, 18), (19, 4), (3, 0), (28, 5), (2, 20), (27, 26), (9, 5), (3, 20), (16, 7), (6, 29), (21, 1), (7, 4), (3, 22), (10, 23), (10, 11), (19, 14), (14, 15), (2, 23), (7, 9), (9, 16), (1, 19), (18, 6), (10, 15), (11, 27), (6, 3), (23, 11), (31, 13), (31, 15), (11, 3), (30, 15), (14, 10), (23, 19), (19, 27), (4, 21), (11, 16), (10, 8), (16, 14), (17, 10), (0, 26), (27, 10), (16, 17), (29, 24), (6, 20), (26, 19), (14, 15), (1, 22), (31, 27), (31, 19), (5, 8), (8, 12), (3, 16), (1, 13), (9, 14), (31, 10), (28, 21), (3, 28), (17, 8), (10, 25), (23, 22), (24, 25), (24, 25), (11, 31), (28, 16), (24, 21), (30, 11), (18, 17), (16, 2), (16, 6), (3, 25), (19, 15), (10, 9), (0, 6), (22, 2), (29, 23), (15, 21), (17, 14), (9, 14), (10, 17), (1, 9), (18, 13), (29, 15)]"
253,"[(23, 9), (26, 18), (0, 18), (8, 28), (11, 27), (30, 6), (1, 24), (12, 8), (5, 13), (30, 9), (14, 25), (9, 12), (28, 26), (4, 8), (10, 17), (6, 0), (12, 6), (3, 1), (22, 2), (16, 23), (13, 23), (7, 4), (18, 15), (9, 22), (18, 16), (15, 31), (23, 15), (12, 20), (30, 18), (10, 19), (6, 29), (29, 19), (3, 14), (6, 27), (18, 24), (22, 10), (27, 10), (26, 27), (9, 28), (18, 9), (29, 9), (19, 11), (20, 17), (20, 12), (29, 14), (9, 3), (31, 17), (24, 30), (21, 31), (19, 23), (17, 19), (29, 11), (3, 14), (7, 7), (15, 31), (21, 8), (9, 5), (27, 17), (21, 2), (15, 14), (24, 24), (10, 29), (3, 4), (11, 8), (29, 9), (17, 27), (16, 12), (26, 12), (29, 23), (29, 12), (8, 26), (11, 3), (19, 7), (27, 6), (24, 4), (11, 28), (26, 7), (31, 2), (13, 26), (31, 15), (3, 8), (30, 14), (19, 25), (29, 19), (30, 8), (19, 20), (15, 28), (26, 31), (29, 9), (5, 16), (1, 6), (19, 16), (24, 8), (14, 10), (19, 7), (28, 29), (31, 13), (6, 31), (14, 22), (14, 13), (21, 14), (7, 14), (26, 2), (29, 0), (15, 22), (0, 13), (0, 13), (14, 1), (23, 0), (19, 26), (24, 22), (30, 28), (5, 31), (17, 13), (9, 12), (17, 18), (14, 15), (19, 8), (15, 25), (17, 25), (27, 18), (18, 5), (1, 0), (29, 4), (2, 20), (26, 27), (9, 7), (3, 18), (16, 9), (5, 28), (21, 1), (7, 4), (4, 21), (8, 23), (9, 10), (18, 13), (14, 15), (3, 24), (6, 10), (8, 15), (1, 21), (18, 6), (9, 14), (12, 26), (4, 3), (24, 10), (31, 13), (31, 15), (11, 3), (29, 16), (13, 11), (23, 21), (17, 27), (3, 22), (11, 18), (9, 7), (16, 12), (16, 11), (0, 26), (28, 9), (18, 17), (29, 24), (7, 21), (26, 19), (12, 15), (2, 23), (31, 29), (31, 19), (5, 8), (8, 10), (3, 16), (1, 11), (11, 14), (31, 10), (29, 20), (3, 28), (17, 8), (9, 26), (23, 22), (24, 25), (24, 27), (12, 30), (27, 15), (24, 19), (30, 9), (20, 17), (16, 2), (16, 6), (3, 25), (21, 15), (11, 10), (0, 6), (21, 1), (28, 22), (16, 22), (17, 14), (9, 12), (11, 18), (0, 8), (18, 13), (28, 16)]"
254,"[(24, 10), (25, 17), (0, 16), (8, 28), (10, 28), (30, 6), (3, 24), (13, 7), (5, 13), (31, 10), (13, 24), (11, 12), (28, 26), (5, 9), (8, 17), (6, 0), (12, 6), (3, 1), (24, 2), (16, 23), (12, 24), (7, 4), (18, 13), (8, 23), (16, 16), (15, 29), (23, 17), (13, 21), (30, 18), (10, 19), (4, 29), (30, 18), (3, 14), (6, 27), (17, 23), (23, 11), (28, 11), (25, 26), (9, 28), (18, 9), (29, 11), (19, 11), (19, 16), (20, 12), (29, 14), (10, 2), (31, 17), (26, 30), (21, 29), (19, 23), (17, 19), (29, 11), (5, 14), (7, 7), (16, 30), (21, 8), (9, 5), (28, 16), (22, 3), (14, 13), (22, 24), (9, 28), (1, 4), (10, 9), (29, 9), (15, 27), (15, 11), (26, 12), (28, 22), (30, 11), (8, 26), (10, 4), (20, 6), (26, 5), (22, 4), (10, 29), (26, 7), (30, 1), (12, 25), (31, 15), (2, 9), (31, 15), (19, 25), (27, 19), (31, 9), (18, 19), (14, 29), (28, 31), (28, 8), (7, 16), (1, 6), (21, 16), (24, 8), (13, 9), (18, 6), (29, 28), (30, 14), (8, 31), (14, 22), (13, 12), (21, 14), (7, 16), (27, 1), (30, 1), (15, 22), (0, 13), (1, 14), (14, 1), (24, 1), (19, 26), (25, 23), (30, 28), (5, 31), (16, 12), (9, 14), (15, 18), (15, 16), (19, 8), (15, 25), (17, 27), (29, 18), (19, 4), (3, 0), (29, 6), (1, 21), (27, 26), (9, 5), (2, 19), (17, 8), (4, 29), (19, 1), (9, 4), (5, 22), (9, 24), (10, 11), (19, 14), (13, 14), (2, 23), (6, 10), (9, 16), (1, 19), (17, 7), (9, 14), (11, 25), (6, 3), (23, 11), (31, 13), (31, 15), (10, 4), (30, 15), (13, 11), (22, 20), (18, 28), (3, 22), (11, 16), (10, 8), (17, 13), (17, 10), (0, 28), (27, 10), (16, 17), (27, 24), (5, 21), (25, 20), (14, 15), (1, 22), (31, 29), (31, 19), (7, 8), (8, 12), (4, 17), (1, 13), (9, 14), (31, 10), (28, 21), (3, 28), (19, 8), (10, 25), (22, 23), (22, 25), (24, 27), (11, 31), (27, 15), (25, 20), (31, 10), (19, 16), (16, 2), (17, 5), (5, 25), (21, 15), (11, 8), (0, 6), (22, 2), (30, 22), (16, 22), (18, 13), (9, 14), (11, 18), (0, 8), (18, 13), (28, 14)]"
255,"[(23, 9), (24, 18), (0, 18), (8, 26), (11, 27), (30, 6), (2, 23), (13, 9), (5, 11), (30, 9), (14, 25), (10, 13), (27, 25), (4, 10), (8, 17), (6, 0), (13, 7), (4, 2), (22, 2), (16, 25), (13, 23), (6, 3), (18, 15), (10, 23), (17, 15), (14, 30), (22, 16), (13, 19), (30, 18), (10, 19), (5, 28), (30, 18), (3, 14), (7, 28), (17, 23), (21, 11), (26, 11), (26, 27), (9, 28), (17, 10), (29, 11), (18, 12), (19, 16), (20, 12), (29, 12), (9, 3), (31, 17), (26, 30), (21, 31), (18, 22), (16, 20), (29, 11), (4, 13), (8, 6), (17, 31), (21, 8), (8, 6), (28, 16), (21, 2), (15, 14), (24, 24), (9, 28), (3, 4), (11, 8), (29, 11), (16, 26), (16, 12), (28, 12), (28, 22), (29, 12), (8, 26), (10, 2), (18, 6), (27, 6), (23, 3), (11, 28), (26, 9), (31, 0), (13, 24), (31, 15), (3, 8), (31, 13), (19, 25), (29, 19), (31, 7), (17, 20), (15, 28), (27, 30), (29, 9), (5, 16), (2, 7), (21, 16), (25, 9), (14, 10), (20, 6), (28, 27), (30, 14), (6, 31), (13, 21), (14, 13), (21, 14), (8, 15), (27, 3), (28, 1), (15, 22), (0, 13), (1, 14), (15, 2), (23, 0), (19, 26), (24, 24), (31, 29), (4, 30), (17, 13), (8, 13), (15, 18), (14, 15), (19, 8), (15, 25), (16, 26), (28, 17), (20, 5), (2, 1), (29, 4), (1, 21), (26, 27), (10, 6), (3, 20), (17, 8), (5, 28), (20, 2), (8, 3), (4, 21), (10, 23), (10, 9), (19, 12), (14, 13), (3, 24), (6, 10), (9, 16), (0, 20), (18, 6), (10, 15), (11, 27), (5, 4), (23, 11), (31, 13), (31, 15), (11, 3), (29, 16), (13, 11), (23, 21), (17, 27), (3, 20), (11, 16), (8, 8), (16, 14), (16, 9), (1, 27), (28, 9), (17, 18), (28, 23), (5, 21), (26, 19), (14, 15), (2, 23), (31, 29), (31, 19), (7, 8), (7, 11), (3, 18), (2, 12), (9, 14), (30, 11), (30, 21), (1, 28), (17, 8), (9, 26), (23, 22), (23, 26), (25, 26), (10, 30), (28, 14), (25, 20), (31, 10), (19, 16), (16, 0), (16, 6), (3, 25), (21, 15), (10, 9), (0, 8), (22, 2), (30, 22), (16, 22), (17, 14), (8, 13), (10, 19), (0, 8), (19, 12), (28, 16)]"
256,"[(22, 10), (24, 18), (1, 17), (8, 26), (11, 27), (30, 4), (3, 24), (13, 7), (6, 12), (31, 10), (13, 24), (9, 12), (27, 25), (4, 8), (9, 18), (4, 0), (12, 6), (4, 0), (24, 2), (16, 23), (12, 24), (6, 3), (18, 13), (9, 22), (16, 16), (15, 29), (23, 17), (13, 21), (29, 17), (10, 21), (6, 29), (31, 19), (3, 12), (7, 26), (17, 25), (22, 10), (26, 11), (25, 26), (9, 28), (18, 9), (29, 11), (17, 11), (21, 16), (20, 12), (29, 12), (9, 1), (31, 17), (25, 31), (22, 30), (18, 22), (17, 19), (29, 9), (4, 15), (8, 6), (17, 31), (20, 9), (7, 5), (28, 16), (20, 3), (14, 13), (24, 24), (9, 28), (2, 5), (11, 10), (29, 11), (17, 27), (15, 11), (28, 12), (28, 22), (30, 11), (8, 28), (9, 3), (20, 6), (26, 5), (22, 4), (12, 29), (26, 7), (31, 2), (12, 25), (31, 15), (2, 9), (31, 13), (17, 25), (29, 19), (30, 8), (17, 20), (15, 28), (26, 31), (29, 7), (6, 15), (1, 6), (20, 17), (25, 9), (14, 10), (18, 6), (28, 29), (31, 13), (6, 31), (14, 20), (13, 12), (19, 14), (8, 15), (27, 3), (28, 1), (14, 23), (0, 13), (0, 15), (14, 1), (24, 1), (19, 26), (24, 22), (30, 28), (6, 30), (17, 13), (10, 13), (16, 17), (15, 16), (21, 8), (15, 25), (17, 27), (27, 18), (18, 5), (1, 0), (29, 4), (2, 20), (26, 27), (10, 6), (2, 19), (16, 9), (6, 29), (20, 0), (9, 4), (4, 21), (9, 24), (10, 9), (19, 12), (14, 15), (2, 23), (6, 10), (8, 15), (1, 19), (17, 7), (9, 16), (11, 25), (4, 3), (24, 12), (31, 13), (31, 15), (12, 4), (29, 16), (13, 11), (23, 21), (17, 27), (3, 20), (11, 18), (9, 7), (17, 13), (16, 11), (1, 27), (28, 11), (18, 17), (28, 23), (5, 21), (26, 19), (12, 15), (3, 22), (31, 27), (30, 18), (7, 8), (9, 11), (2, 17), (1, 13), (9, 14), (31, 10), (30, 21), (2, 27), (17, 8), (9, 26), (22, 23), (22, 25), (25, 26), (10, 30), (29, 15), (25, 20), (30, 9), (19, 18), (16, 0), (18, 6), (3, 25), (19, 15), (11, 10), (0, 8), (22, 0), (28, 22), (16, 20), (19, 14), (10, 13), (10, 17), (0, 8), (18, 13), (27, 15)]"
257,"[(23, 11), (26, 18), (0, 18), (8, 28), (10, 28), (30, 4), (3, 24), (12, 8), (5, 11), (31, 10), (14, 23), (11, 12), (27, 25), (3, 9), (10, 17), (6, 0), (12, 6), (5, 1), (23, 3), (16, 23), (12, 22), (7, 4), (18, 15), (10, 23), (18, 16), (15, 31), (24, 16), (13, 21), (30, 18), (9, 20), (5, 28), (30, 18), (4, 13), (7, 28), (17, 23), (23, 11), (26, 11), (26, 27), (9, 26), (19, 10), (29, 11), (17, 11), (21, 16), (21, 13), (29, 12), (10, 2), (31, 17), (24, 30), (21, 29), (17, 23), (15, 19), (29, 9), (4, 15), (8, 8), (17, 31), (19, 8), (7, 5), (27, 15), (21, 4), (14, 13), (22, 24), (9, 28), (3, 4), (12, 9), (29, 9), (15, 27), (16, 12), (28, 12), (30, 22), (29, 12), (8, 28), (10, 2), (19, 7), (27, 6), (22, 4), (10, 29), (27, 8), (31, 0), (12, 25), (31, 15), (3, 8), (31, 15), (19, 25), (27, 19), (31, 7), (18, 21), (14, 27), (28, 31), (29, 7), (6, 17), (1, 6), (19, 16), (24, 8), (14, 8), (18, 6), (29, 28), (30, 14), (6, 31), (13, 21), (14, 13), (21, 14), (7, 16), (27, 1), (28, 1), (14, 23), (0, 13), (0, 13), (15, 2), (23, 0), (19, 26), (25, 23), (31, 29), (6, 30), (16, 14), (8, 13), (16, 17), (14, 15), (21, 8), (15, 25), (17, 27), (28, 17), (18, 5), (2, 1), (28, 5), (1, 21), (27, 26), (8, 6), (3, 20), (16, 7), (5, 28), (20, 0), (9, 4), (5, 22), (9, 22), (9, 10), (19, 14), (14, 13), (2, 23), (6, 10), (9, 16), (1, 21), (18, 6), (9, 14), (11, 25), (4, 3), (23, 11), (31, 13), (31, 15), (11, 5), (29, 16), (13, 11), (23, 19), (17, 27), (4, 21), (11, 16), (10, 8), (17, 13), (17, 10), (0, 26), (28, 9), (16, 17), (28, 23), (7, 21), (26, 19), (13, 14), (2, 23), (31, 29), (31, 19), (7, 8), (9, 11), (3, 16), (1, 13), (10, 13), (31, 10), (29, 20), (3, 28), (19, 8), (9, 26), (22, 23), (22, 25), (24, 25), (12, 30), (28, 14), (25, 20), (31, 10), (19, 16), (16, 2), (18, 6), (5, 25), (19, 15), (12, 9), (0, 6), (22, 0), (28, 22), (16, 22), (18, 13), (9, 14), (10, 17), (1, 9), (18, 13), (29, 15)]"
